ID,VD4020,VD4035
1,5000,40
3,3500,36
8,3500,30
10,3000,40
12,3000,40
14,2500,44
17,2600,40
23,3000,40
27,800,30
32,5800,40
33,4500,40
36,5500,40
40,10000,40
48,400,8
50,17000,40
51,11000,40
54,20000,40
55,7000,40
56,5000,44
57,6000,40
58,6000,40
61,10000,44
62,5000,44
65,3000,44
67,1500,48
70,3000,40
71,600,24
72,7000,34
76,3000,60
77,1600,48
78,1600,44
81,400,20
83,1320,40
86,2640,40
87,1900,40
90,15000,44
91,6000,44
93,1200,40
94,650,20
97,1500,40
98,2000,56
99,1500,0
100,700,20
101,1400,40
102,1500,40
105,10000,60
110,1320,56
111,1320,44
113,1600,40
114,1500,40
117,1000,60
121,2100,36
122,480,10
131,600,44
135,2200,20
140,600,38
145,300,40
146,2800,40
147,2500,67
148,5000,52
149,1970,0
150,800,20
153,0,30
154,8000,40
156,9800,50
158,3000,44
166,4000,44
171,4200,40
175,4000,40
176,4000,16
177,3597,25
178,12000,40
179,3500,30
182,2000,44
189,1500,44
191,1900,36
194,800,40
198,3000,44
200,700,30
203,1500,40
211,1320,48
214,1000,40
216,4800,25
219,1800,40
221,1400,40
222,2840,44
226,3600,40
227,1470,40
230,2500,40
231,1930,40
233,1500,40
234,300,15
238,1600,40
240,2000,10
242,1900,50
245,300,10
247,1690,30
249,2500,25
250,2000,40
252,1500,20
256,1700,40
257,3000,60
262,1320,48
265,600,40
272,1320,40
276,350,40
277,650,40
278,1320,40
282,3000,40
285,1600,44
289,1320,46
296,1600,40
298,1800,40
300,2700,8
301,2000,8
304,2000,8
307,2000,8
308,1500,8
309,2200,40
310,1320,8
313,2000,40
314,1900,40
315,450,6
316,1200,8
318,400,8
321,3000,8
327,3000,6
328,600,8
329,200,6
332,80,8
333,4000,8
335,240,8
336,1400,8
337,1320,8
339,2500,48
343,1320,40
344,1320,40
347,2000,40
348,2000,40
351,3700,40
352,1700,48
356,700,40
357,700,40
361,1302,44
362,1320,44
366,1600,40
369,1600,48
372,2000,48
374,2000,40
375,4000,0
376,7000,40
377,2000,46
378,600,16
380,1100,23
382,6500,68
383,2000,44
386,7000,44
387,2640,44
389,2000,0
390,600,14
391,4500,40
392,1600,44
393,2000,20
394,8000,40
395,1300,44
396,2000,40
399,1800,62
403,1500,50
407,2000,60
412,2800,44
413,4200,44
421,3000,60
425,3500,48
429,3600,60
433,1000,60
434,1200,60
435,1700,60
438,1700,44
441,2000,40
442,2000,40
445,1500,40
449,2100,44
450,2500,44
458,1700,40
459,1600,40
460,1600,40
465,3000,50
466,3000,50
471,1320,40
473,2000,44
474,2000,44
476,1000,40
479,800,40
487,2500,40
488,1600,20
489,6250,50
490,6250,50
494,1000,40
495,1000,40
499,1600,40
500,1600,40
501,3000,40
502,5000,40
506,1800,40
510,1600,40
511,1500,40
514,2500,40
516,1320,40
517,1800,40
519,1320,40
522,1800,40
523,1800,40
525,1800,40
526,1320,40
528,2500,40
532,9000,52
533,9000,48
534,1000,40
536,1320,50
540,2000,40
542,2000,44
549,3000,28
552,400,8
556,5000,44
558,600,15
560,600,15
561,800,24
562,3300,40
563,1312,38
564,3000,38
565,1700,60
566,500,30
570,1700,32
571,0,16
572,6000,40
573,0,44
574,5000,16
575,1500,40
577,1600,40
579,2000,48
580,1477,56
581,1900,56
582,750,30
583,1500,44
584,10000,44
586,4000,62
587,5500,30
588,2500,44
589,4000,40
590,500,24
591,2500,40
594,7500,0
596,6800,80
597,2500,40
600,1600,48
604,7500,30
605,4000,28
607,7200,46
608,1500,44
610,1320,20
615,3500,40
617,4500,40
618,3000,44
623,2500,44
624,2500,44
632,2800,44
633,4200,30
634,3500,40
642,3000,44
660,3000,44
662,2800,44
663,1800,40
665,2000,40
667,1320,8
669,2400,36
673,2000,6
674,2000,6
677,3000,44
678,4500,6
679,4500,8
680,1320,8
682,200,40
688,1500,8
689,1500,8
692,2000,56
699,3000,40
703,1800,44
705,3000,44
706,1500,30
709,1300,24
711,600,10
712,3000,30
716,1700,36
717,1000,40
719,1320,40
720,1420,41
721,1320,40
727,1320,40
728,2000,40
736,2500,40
737,2000,40
738,1320,46
742,1800,40
743,1400,40
745,2400,40
747,2300,40
754,4000,30
755,3800,44
756,3000,40
758,3980,40
761,1320,40
763,400,30
766,2000,40
769,2800,40
770,5000,40
774,3000,44
776,1300,44
777,0,44
778,0,44
784,1320,44
785,1320,44
791,0,44
792,2410,20
794,1800,44
795,2000,30
796,3000,48
799,4000,40
800,1320,40
801,1320,40
802,3000,44
803,3000,44
806,5000,40
807,5000,40
810,1320,44
811,1320,44
816,1320,40
822,3000,44
824,3000,44
825,2000,48
828,3000,40
829,1320,40
830,1320,44
831,1320,44
833,1320,44
835,1200,44
845,1320,30
847,9000,40
848,300,50
852,1900,35
853,2000,28
854,10000,40
858,2000,40
859,3000,8
860,400,12
863,1800,52
875,3000,44
876,700,2
880,2000,44
881,1500,12
883,1300,44
885,1400,44
890,8000,40
895,1400,44
897,2800,44
899,2800,44
900,1400,44
904,3000,44
905,2500,44
906,2500,44
908,1500,44
909,3200,40
914,500,40
915,1320,44
917,1420,55
918,2600,50
919,0,30
924,750,40
930,8000,20
932,1500,40
933,1960,30
934,3900,38
935,1320,40
938,1320,43
940,1320,48
945,3500,44
946,1200,20
949,2800,60
950,2800,60
953,1300,40
960,1320,44
961,1320,44
966,1600,44
975,2600,44
976,1320,40
979,2000,44
985,1800,44
987,1520,44
989,2800,44
992,1400,20
998,1780,40
999,1500,44
1000,800,20
1005,2200,44
1009,2800,44
1012,1320,44
1013,2000,44
1014,1320,30
1018,3200,44
1020,2000,44
1023,7500,42
1025,1800,25
1026,3000,40
1027,4000,30
1031,7000,28
1033,2000,20
1039,3500,40
1041,5000,21
1045,1600,40
1047,5000,7
1050,10000,44
1053,4000,40
1057,600,20
1058,2000,40
1059,500,10
1061,1900,20
1062,3000,42
1064,6000,40
1065,1320,40
1066,1800,44
1067,7500,40
1068,8000,40
1073,1500,40
1074,5500,36
1075,4000,40
1081,1500,30
1082,1500,35
1083,1500,40
1084,2600,40
1085,8000,40
1086,4000,30
1087,2000,36
1089,5000,40
1090,1500,44
1091,1600,30
1093,1320,40
1096,3000,44
1098,2800,44
1100,2200,40
1101,1320,30
1102,9000,36
1103,6000,40
1104,1560,40
1105,1600,44
1107,10000,36
1108,4500,40
1112,17000,30
1113,3800,30
1114,2200,44
1115,5000,30
1120,10000,44
1121,7000,38
1124,2000,40
1125,400,15
1128,1320,40
1132,700,40
1135,600,14
1137,5000,40
1141,200,22
1142,900,16
1143,2800,40
1146,1500,20
1151,1200,41
1155,1200,40
1156,3400,54
1159,2000,40
1161,600,16
1162,600,25
1165,500,16
1169,18700,62
1170,2300,40
1172,2700,76
1173,420,16
1177,740,28
1180,30000,40
1182,1500,48
1183,400,16
1184,12000,36
1185,800,18
1191,7500,50
1194,1019,30
1196,500,10
1197,600,12
1201,1320,44
1202,950,20
1203,600,24
1205,3500,40
1207,1200,22
1210,6000,42
1212,1800,44
1214,700,30
1216,6000,48
1218,2000,40
1220,6000,44
1222,1380,44
1223,3000,40
1224,3500,48
1227,2200,48
1228,3000,44
1231,1900,44
1233,700,15
1234,3000,44
1235,3500,36
1238,1320,44
1239,3040,40
1244,1500,48
1246,5000,40
1251,1800,48
1252,2000,44
1254,1500,40
1257,4200,44
1258,1600,44
1259,4000,40
1260,3000,40
1265,1500,24
1268,2000,44
1269,5000,48
1272,1500,44
1273,1600,44
1275,2000,40
1279,1320,40
1281,2600,40
1283,1900,40
1284,1600,40
1288,1940,40
1289,5000,40
1293,1500,40
1296,1900,40
1301,1320,44
1302,680,20
1304,1947,40
1305,2200,40
1308,1700,40
1309,2600,40
1310,1320,40
1313,1320,40
1314,1320,40
1320,1320,44
1321,3000,40
1322,1320,44
1323,1320,40
1325,3000,48
1327,1320,30
1328,1320,44
1329,2300,40
1330,3000,44
1337,1320,40
1338,3400,54
1343,3000,44
1344,2000,40
1346,1500,40
1352,5300,40
1353,3200,20
1354,1600,44
1357,1800,40
1358,1350,56
1360,300,10
1361,2250,47
1363,1320,44
1365,2000,44
1366,1850,44
1369,850,9
1371,100,28
1374,2400,42
1379,3600,42
1381,0,0
1386,1200,26
1387,0,3
1389,3100,48
1392,1320,46
1395,5000,46
1396,5000,30
1397,1320,61
1400,3000,3
1404,3000,35
1409,4200,42
1417,1320,8
1418,1320,8
1420,3500,44
1421,2000,8
1423,3000,40
1424,2800,40
1428,2800,40
1429,2640,8
1430,2640,8
1433,800,12
1434,800,12
1436,2100,12
1437,2800,8
1441,2400,44
1442,1320,44
1451,1320,40
1454,1320,8
1455,1600,8
1458,1000,6
1460,1500,44
1465,400,8
1471,2400,44
1472,1320,40
1473,1320,44
1475,1320,8
1481,1320,44
1482,2200,44
1484,3000,8
1486,1000,24
1487,2000,44
1492,1300,44
1495,4100,30
1500,1000,30
1504,1300,30
1505,3800,56
1507,10000,30
1508,3500,34
1511,1800,44
1512,1320,40
1513,4500,40
1515,2800,40
1519,1320,46
1520,1320,46
1524,1320,40
1526,2500,40
1535,800,40
1541,3000,84
1543,3500,40
1544,6000,44
1546,2600,40
1549,3000,40
1550,3000,40
1552,1800,20
1553,2600,40
1556,2800,40
1565,1320,40
1566,1000,30
1568,2500,40
1571,5000,40
1577,2300,40
1582,2100,40
1593,1500,40
1594,2800,40
1597,1500,40
1600,2600,40
1603,2800,40
1604,2000,44
1606,2100,30
1608,3000,25
1611,1320,24
1612,1600,44
1614,2600,40
1615,5000,44
1616,11400,80
1617,4400,40
1618,2200,40
1619,1500,54
1620,1800,40
1622,1800,44
1623,5000,44
1625,8000,44
1626,4000,44
1630,660,20
1631,3000,40
1637,6000,36
1638,6000,8
1641,3000,18
1648,6000,32
1649,1320,44
1650,10000,12
1651,7000,50
1658,2640,40
1660,1300,44
1661,1300,44
1662,1000,44
1663,1000,44
1666,800,44
1668,3000,40
1672,2000,44
1680,1320,44
1683,2000,44
1686,500,44
1690,1000,44
1691,1000,44
1692,700,44
1693,700,44
1694,1320,40
1695,1500,40
1696,2000,48
1699,2000,44
1700,2000,40
1701,2000,40
1702,2500,40
1703,1320,40
1704,1320,40
1709,7000,40
1710,5500,40
1712,4449,44
1713,1440,44
1714,4000,40
1715,7000,40
1719,10000,40
1721,4500,40
1722,4200,40
1723,4200,40
1728,2100,40
1729,1700,45
1733,1320,44
1734,2200,40
1737,1500,40
1738,3000,40
1746,1320,40
1747,4500,40
1748,2000,40
1749,2500,40
1750,2000,40
1751,2600,40
1752,2500,40
1753,2500,40
1754,2500,50
1757,2200,40
1762,2000,40
1764,1320,46
1765,1320,40
1767,1320,44
1768,1320,44
1774,1320,40
1775,1320,40
1776,1320,40
1777,1320,40
1779,1500,40
1780,1320,40
1782,4500,48
1784,1400,40
1786,1500,20
1790,1400,44
1791,1700,48
1792,1320,40
1794,800,16
1797,3250,40
1798,400,20
1799,100,0
1800,7000,60
1801,4440,40
1802,4400,24
1803,3200,44
1805,12000,40
1806,5000,20
1808,1320,44
1811,3150,48
1812,2700,48
1819,1000,40
1820,1000,40
1826,600,30
1828,2000,30
1829,1000,30
1830,600,30
1832,2000,40
1833,2000,40
1837,3000,40
1839,2500,40
1841,1320,44
1842,1320,40
1843,5000,40
1844,2640,40
1845,2000,40
1847,1320,44
1853,12000,40
1858,4000,40
1862,1500,40
1863,5000,40
1865,2500,40
1866,3000,40
1869,2000,40
1872,3000,44
1873,1600,44
1876,1200,44
1881,1600,44
1885,1320,44
1887,4000,44
1888,25000,40
1890,1000,40
1891,1000,40
1892,2000,40
1893,4000,40
1895,5000,48
1896,2500,44
1897,1800,44
1898,4000,40
1899,2000,40
1902,600,30
1904,0,10
1906,4200,50
1908,2200,44
1911,1500,36
1913,1600,52
1914,1500,44
1921,1000,26
1922,3000,40
1925,4000,30
1927,2640,45
1931,2600,8
1932,2640,8
1935,6000,50
1937,1800,44
1938,3500,44
1945,1400,44
1946,950,6
1950,7500,44
1951,2200,44
1956,3000,60
1957,2400,16
1958,8000,44
1959,3000,44
1961,2500,5
1962,1320,8
1964,5000,40
1969,1600,36
1970,2000,44
1973,1500,44
1977,600,30
1992,6000,40
1994,4000,44
1996,1800,40
1997,1200,40
1998,200,48
2000,1320,44
2001,1320,30
2002,10000,60
2011,4000,24
2015,1600,40
2018,500,48
2021,1000,48
2023,5000,40
2024,3000,20
2026,3700,60
2027,1320,40
2028,2500,24
2031,850,28
2033,2800,14
2035,3100,44
2044,3500,40
2045,2600,40
2047,1320,44
2051,1600,30
2062,1600,40
2069,1600,30
2071,1320,40
2075,1200,30
2077,1200,30
2079,2000,44
2081,300,40
2084,1100,40
2085,1100,40
2086,2000,40
2087,2000,40
2091,1320,40
2094,800,30
2095,1600,40
2096,3200,40
